,Date,Open,High,Low,Close,Adj Close,Volume
345,2021-07-30,3.84,3.863,3.806,3.814,3.814,188896
346,2021-08-02,3.83,3.89,3.814,3.837,3.837,211160
347,2021-08-03,3.825,3.92,3.78,3.798,3.798,300445
348,2021-08-04,3.848,3.85,3.781,3.787,3.787,172967
349,2021-08-05,3.8,3.826,3.525,3.58,3.58,594892
350,2021-08-06,3.58,3.6,3.36,3.464,3.464,986728
351,2021-08-09,3.456,3.77,3.454,3.649,3.649,691247
352,2021-08-10,3.74,3.74,3.471,3.544,3.544,448049
353,2021-08-11,3.568,3.621,3.477,3.485,3.485,212235
354,2021-08-12,3.487,3.497,3.415,3.43,3.43,238696
355,2021-08-13,3.431,3.533,3.4,3.463,3.463,322643
356,2021-08-16,3.463,3.75,3.4,3.612,3.612,811876
357,2021-08-17,3.639,3.639,3.46,3.53,3.53,368887
358,2021-08-18,3.88,4.224,3.845,4.2,4.2,4025413
359,2021-08-19,4.1,4.596,4.022,4.56,4.56,2647847
360,2021-08-20,4.649,5.046,4.48,4.84,4.84,3121172
361,2021-08-23,5.0,5.258,4.867,4.949,4.949,2270001
362,2021-08-24,4.9,4.948,4.51,4.661,4.661,1538762
363,2021-08-25,4.623,4.909,4.44,4.69,4.69,1016811
364,2021-08-26,4.714,4.769,4.606,4.624,4.624,237407
365,2021-08-27,4.617,4.63,4.458,4.46,4.46,550606
366,2021-08-30,4.437,4.48,4.216,4.48,4.48,1025164
367,2021-08-31,4.48,4.6,4.459,4.462,4.462,611196
368,2021-09-01,4.441,4.49,4.322,4.369,4.369,298417
369,2021-09-02,4.344,4.634,4.251,4.477,4.477,575910
370,2021-09-03,4.47,4.54,4.332,4.375,4.375,276072
371,2021-09-06,4.39,4.45,4.25,4.384,4.384,351344
372,2021-09-07,4.338,4.45,4.256,4.396,4.396,293658
373,2021-09-08,4.406,4.406,4.266,4.289,4.289,250056
374,2021-09-09,4.3,4.345,4.238,4.266,4.266,170336
375,2021-09-10,4.251,4.39,4.234,4.234,4.234,215135
376,2021-09-13,4.237,4.25,3.95,3.985,3.985,735579
377,2021-09-14,3.955,4.087,3.88,4.026,4.026,399376
378,2021-09-15,4.094,4.153,3.99,4.015,4.015,251916
379,2021-09-16,3.774,3.895,3.66,3.805,3.805,1131121
380,2021-09-17,3.793,3.806,3.6,3.639,3.639,789729
381,2021-09-20,3.666,3.666,3.4,3.471,3.471,614952
382,2021-09-21,3.438,3.83,3.401,3.714,3.714,747316
383,2021-09-22,3.73,3.768,3.652,3.706,3.706,218932
384,2021-09-23,3.7,3.712,3.602,3.604,3.604,222832
385,2021-09-24,3.6,3.738,3.576,3.636,3.636,271686
386,2021-09-27,3.55,3.65,3.46,3.482,3.482,609033
387,2021-09-28,3.457,3.577,3.443,3.462,3.462,286311
388,2021-09-29,3.465,3.518,3.31,3.34,3.34,575633
389,2021-09-30,3.396,3.4,3.114,3.25,3.25,814782
390,2021-10-01,3.2,3.225,3.108,3.11,3.11,519840
391,2021-10-04,3.118,3.375,3.069,3.231,3.231,496353
392,2021-10-05,3.202,3.215,3.11,3.11,3.11,182377
393,2021-10-06,3.135,3.135,2.891,2.98,2.98,934898
394,2021-10-07,2.92,3.064,2.905,3.011,3.011,540536
395,2021-10-08,3.012,3.253,3.002,3.105,3.105,580656
396,2021-10-11,3.121,3.183,2.983,3.031,3.031,369799
397,2021-10-12,3.0,3.075,2.98,2.993,2.993,236956
